# Recfast++ output. The columns are z, Xe=Ne/NH, Te
#
3.00000000e+03 1.07942552e+00 8.17772295e+03 
2.99852426e+03 1.07942407e+00 8.17370156e+03 
2.99704852e+03 1.07942260e+00 8.16968017e+03 
2.99557279e+03 1.07942110e+00 8.16565878e+03 
2.99409705e+03 1.07941957e+00 8.16163740e+03 
2.99262131e+03 1.07941801e+00 8.15761601e+03 
2.99114557e+03 1.07941643e+00 8.15359462e+03 
2.98966983e+03 1.07941483e+00 8.14957324e+03 
2.98819410e+03 1.07941319e+00 8.14555185e+03 
2.98671836e+03 1.07941152e+00 8.14153046e+03 
2.98524262e+03 1.07940983e+00 8.13750908e+03 
2.98376688e+03 1.07940811e+00 8.13348769e+03 
2.98229115e+03 1.07940635e+00 8.12946630e+03 
2.98081541e+03 1.07940457e+00 8.12544491e+03 
2.97933967e+03 1.07940275e+00 8.12142353e+03 
2.97786393e+03 1.07940090e+00 8.11740214e+03 
2.97638819e+03 1.07939902e+00 8.11338075e+03 
2.97491246e+03 1.07939711e+00 8.10935937e+03 
2.97343672e+03 1.07939516e+00 8.10533798e+03 
2.97196098e+03 1.07939318e+00 8.10131659e+03 
2.97048524e+03 1.07939116e+00 8.09729521e+03 
2.96900950e+03 1.07938911e+00 8.09327382e+03 
2.96753377e+03 1.07938702e+00 8.08925243e+03 
2.96605803e+03 1.07938489e+00 8.08523104e+03 
2.96458229e+03 1.07938273e+00 8.08120966e+03 
2.96310655e+03 1.07938053e+00 8.07718827e+03 
2.96163082e+03 1.07937829e+00 8.07316688e+03 
2.96015508e+03 1.07937601e+00 8.06914550e+03 
2.95867934e+03 1.07937369e+00 8.06512411e+03 
2.95720360e+03 1.07937132e+00 8.06110272e+03 
2.95572786e+03 1.07936892e+00 8.05708134e+03 
2.95425213e+03 1.07936647e+00 8.05305995e+03 
2.95277639e+03 1.07936399e+00 8.04903856e+03 
2.95130065e+03 1.07936145e+00 8.04501717e+03 
2.94982491e+03 1.07935887e+00 8.04099579e+03 
2.94834917e+03 1.07935625e+00 8.03697440e+03 
2.94687344e+03 1.07935358e+00 8.03295301e+03 
2.94539770e+03 1.07935086e+00 8.02893163e+03 
2.94392196e+03 1.07934809e+00 8.02491024e+03 
2.94244622e+03 1.07934528e+00 8.02088885e+03 
2.94097049e+03 1.07934241e+00 8.01686747e+03 
2.93949475e+03 1.07933949e+00 8.01284608e+03 
